Number,Postion,Company,Location,URL
1,라인프렌즈[IPX] 2022년 각 부문 수시의 전체 세부 정보,IPX,서울 용산구,https://kr.indeed.com/rc/clk?jk=1015284880e2ff62&fccid=e6548a8408f0612b&vjs=3
2,[선릉역] 데이터분석(석박사급,Matlab,Python)의 전체 세부 정보,시니어앤파트너즈,서울 강남구,https://kr.indeed.com/rc/clk?jk=abe530ab20423080&fccid=59060ddcdf96b101&vjs=3
3,Student Researcher, PhD, 2023의 전체 세부 정보,구글코리아,서울 강남구,https://kr.indeed.com/rc/clk?jk=f688085bf5b95500&fccid=28712efe9a7c8d8a&vjs=3
4,INTERN / AI Research Intern(Biology)의 전체 세부 정보,카카오브레인,성남 분당구,https://kr.indeed.com/rc/clk?jk=4c8d6ffc493b6509&fccid=cba3dd38afc6edb8&vjs=3
5,그룹공동 마이데이터 분석 플랫폼(데이터분석가)의 전체 세부 정보,KB데이타시스템,서울 마포구,https://kr.indeed.com/rc/clk?jk=25b3c3e6a66bd77c&fccid=fe227fbd2afb9580&vjs=3
6,[메이저 금융그룹 연구소] Data Scientist 경력직 연구원 포지션의 전체 세부 정보,메이저 금융그룹 연구소,서울,https://kr.indeed.com/company/%EB%8D%94-%ED%9C%B4%EB%A8%BC/jobs/Data-Scientist-%EA%B2%BD%EB%A0%A5%EC%A7%81-%EC%97%B0%EA%B5%AC%EC%9B%90-%ED%8F%AC%EC%A7%80%EC%85%98-4260ec2bd9434950?fccid=3cfe13845f73c09f&vjs=3
7,[양재역] 데이터분석(석박사급,R,Python,Matlab)의 전체 세부 정보,시니어앤파트너즈,서울 서초구,https://kr.indeed.com/rc/clk?jk=ce71e040d5a36470&fccid=59060ddcdf96b101&vjs=3
8,LIG넥스원 SW직무 수시(신입, 경력, 전문연구요원)의 전체 세부 정보,LIG넥스원,성남 분당구,https://kr.indeed.com/rc/clk?jk=22bc188ada739a84&fccid=53987d2c47135867&vjs=3
9,[NHN DATA] 백엔드 개발자(Python) 경력의 전체 세부 정보,엔에이치엔데이터,성남 분당구,https://kr.indeed.com/rc/clk?jk=fc8f55d611506428&fccid=71f9584e40c502d2&vjs=3
10,한국필립모리스 2022년 상반기 수시의 전체 세부 정보,한국필립모리스㈜,서울 영등포구,https://kr.indeed.com/rc/clk?jk=44e9ac7f0f94e784&fccid=fb7e65f74b012d18&vjs=3
11,C# S/W 개발자 or Python 응용 S/W 개발(사원주임대리과장의 전체 세부 정보,제스엔지니어링,서울 금천구,https://kr.indeed.com/rc/clk?jk=26ca4ab29d6cfb79&fccid=0f2f8141103a3f4e&vjs=3
12,[외국계 스타트업 미소] Business Analyst Intern (정규직 전환형)의 전체 세부 정보,유한회사 미소,서울,https://kr.indeed.com/rc/clk?jk=4c25d6649f8434a8&fccid=02936474a8d39137&vjs=3
13,딥러닝 영상 인식 Researcher의 전체 세부 정보,앤씨앤,성남 분당구,https://kr.indeed.com/rc/clk?jk=ef349527eaafb014&fccid=e0ebb3045283ebe8&vjs=3
14,[선릉역] 신호처리(석박사급,MatLab,Python)의 전체 세부 정보,시니어앤파트너즈,서울 강남구,https://kr.indeed.com/rc/clk?jk=7c751b226ddb504c&fccid=59060ddcdf96b101&vjs=3
15,데이터분석 신입/경력 정규직의 전체 세부 정보,블록스퀘어서울,서울 서초구,https://kr.indeed.com/rc/clk?jk=88960e11c2cdd682&fccid=72348558bd9456ba&vjs=3
16,부문별 직원의 전체 세부 정보,경복대학교,경기도 포천,https://kr.indeed.com/rc/clk?jk=7d02cc2c10a4ef52&fccid=36475830c3fcd0b5&vjs=3
17,[ICT] Data Scientist - 자연어처리[매니저]의 전체 세부 정보,현대자동차그룹,대한민국,https://kr.indeed.com/rc/clk?jk=cf99a4662ad1c936&fccid=980d6ecc399a3373&vjs=3
18,국산 전산유체해석 소프트웨어 K-CFD (밀도기반 전산유체해석) 운용 담당자의 전체 세부 정보,경원테크,성남 분당구,https://kr.indeed.com/rc/clk?jk=7aec1cef43890ede&fccid=8d81c57587570488&vjs=3
19,Student Researcher, PhD, 2023의 전체 세부 정보,구글코리아,서울 강남구,https://kr.indeed.com/rc/clk?jk=f688085bf5b95500&fccid=28712efe9a7c8d8a&vjs=3
20,[메이저 금융그룹 연구소] Data Scientist 경력직 연구원 포지션의 전체 세부 정보,메이저 금융그룹 연구소,서울,https://kr.indeed.com/company/%EB%8D%94-%ED%9C%B4%EB%A8%BC/jobs/Data-Scientist-%EA%B2%BD%EB%A0%A5%EC%A7%81-%EC%97%B0%EA%B5%AC%EC%9B%90-%ED%8F%AC%EC%A7%80%EC%85%98-4260ec2bd9434950?fccid=3cfe13845f73c09f&vjs=3
21,위시켓과 함께할 서버개발자님의 전체 세부 정보,위시켓,서울 강남구,https://kr.indeed.com/rc/clk?jk=a3a65a4d59061430&fccid=533c91503ff32d48&vjs=3
22,데이터분석 신입/경력 정규직의 전체 세부 정보,블록스퀘어서울,서울 서초구,https://kr.indeed.com/rc/clk?jk=88960e11c2cdd682&fccid=72348558bd9456ba&vjs=3
23,백엔드 엔지니어 (Python/Javascript)의 전체 세부 정보,시스메틱,서울 영등포구,https://kr.indeed.com/rc/clk?jk=dc4b5e342e7ae6a0&fccid=6cc748c560420a2e&vjs=3
24,[K디지털 트레이닝] 전액 국비지원 IT취업연계 교육 빅데이터, 인공지능의 전체 세부 정보,중앙정보처리학원,서울 마포구,https://kr.indeed.com/rc/clk?jk=8eb2784e62502c5f&fccid=2f25bb139639ef63&vjs=3
25,자율주행 제어 엔지니어의 전체 세부 정보,앤씨앤,성남 분당구,https://kr.indeed.com/rc/clk?jk=6665bb3fbe619231&fccid=e0ebb3045283ebe8&vjs=3
26,2023 Software Engineering Intern의 전체 세부 정보,Google,서울,https://kr.indeed.com/rc/clk?jk=495da9eebc1b719f&fccid=a5b4499d9e91a5c6&vjs=3
