Number,Postion,Company,Location,URL
1,Senior Open Source Developer & DevOps (Python  Django  React  AWS/OpenStack),OpenCraft,Anywhere in the World,https://weworkremotely.com/remote-jobs/opencraft-senior-open-source-developer-devops-python-django-react-aws-openstack
1,JR0192526 SW engineer intern의 전체 세부 정보,인텔코리아,서울,https://kr.indeed.com/rc/clk?jk=83f4939522ffaa68&fccid=ded06d6a6799d929&vjs=3
2,Python Backend Engineer의 전체 세부 정보,두나무,서울 강남구,https://kr.indeed.com/rc/clk?jk=20d792ea3f7471fa&fccid=6723a9d496e46445&vjs=3
3,Junior Backend Engineer의 전체 세부 정보,트릿지,서울 서초구,https://kr.indeed.com/rc/clk?jk=48abffb7960b29fe&fccid=3de9f8561145bb08&vjs=3
4,Python/Django 백엔드 개발자 (2년 이상)의 전체 세부 정보,벨루가브루어리,서울 마포구,https://kr.indeed.com/rc/clk?jk=3960bd9415e6df6b&fccid=fefb166bd08e31f3&vjs=3
5,Backend Engineer의 전체 세부 정보,Riiid Labs,서울,https://kr.indeed.com/rc/clk?jk=03f25e552179fd15&fccid=933989f3b0ffe928&vjs=3
6,플랫폼개발  스마트공장  UAM  폐기물자원순환 정규직 경력사원 모집의 전체 세부 정보,GS건설,서울 종로구,https://kr.indeed.com/rc/clk?jk=91cebcdcd232b56f&fccid=b5e17b21b1bbc30c&vjs=3
7,위시켓과 함께할 서버개발자님의 전체 세부 정보,위시켓,서울 강남구,https://kr.indeed.com/rc/clk?jk=a3a65a4d59061430&fccid=533c91503ff32d48&vjs=3
8,[KR] 데브옵스 엔지니어의 전체 세부 정보,올거나이즈코리아,서울 강남구,https://kr.indeed.com/rc/clk?jk=5a2ce62a34072bce&fccid=707decd4d5b2755e&vjs=3
9,데이터 서비스/플랫폼 개발의 전체 세부 정보,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=031eec3794f09645&fccid=cc378bd7bc831eca&vjs=3
10,인공지능(AI)  빅데이터 외 신입/경력 계약직의 전체 세부 정보,피디젠,수원 팔달구,https://kr.indeed.com/rc/clk?jk=6512673261825b13&fccid=3ccb66b4b32b22a5&vjs=3
11,(주)디로그 웹/앱 서비스 개발자 (신입  경력)의 전체 세부 정보,디로그,서울 금천구,https://kr.indeed.com/rc/clk?jk=178a549659f61090&fccid=023ccbfac772e228&vjs=3
12,Back end Developer (Python)의 전체 세부 정보,인라이플,서울 구로구,https://kr.indeed.com/rc/clk?jk=4a1137fc20b7959b&fccid=25a5f8f961de7852&vjs=3
13,네트워크 엔지니어 모집의 전체 세부 정보,엔씨소프트,성남 판교역,https://kr.indeed.com/rc/clk?jk=f4d81342a6742705&fccid=a1e4e21b1f33cf40&vjs=3
14,에바씨엔피 웹 개발자 급구의 전체 세부 정보,에바씨엔피,서울 영등포구,https://kr.indeed.com/rc/clk?jk=38c9f1d0b68f40d4&fccid=c24719f9a97b7f40&vjs=3
15,8퍼센트 경력 개발자의 전체 세부 정보,8퍼센트,서울 종로구,https://kr.indeed.com/rc/clk?jk=464ef95516a5fa5c&fccid=ac216a9ae7b75c06&vjs=3
16,Back end Developer (Python)의 전체 세부 정보,인라이플,서울 구로구,https://kr.indeed.com/rc/clk?jk=4a1137fc20b7959b&fccid=25a5f8f961de7852&vjs=3
17,InfraOps Full Stack Developer의 전체 세부 정보,Toss,서울,https://kr.indeed.com/rc/clk?jk=e8e7e8ca064a15b1&fccid=18c4935c8ec646d5&vjs=3
18,백엔드  웹개발 경력 정규직 - 스타트업/워라밸/수평문화/연봉최대협의의 전체 세부 정보,티에스커리어,안양 동안구,https://kr.indeed.com/rc/clk?jk=e03c3db92d5c1291&fccid=ac28a927b1e76676&vjs=3
